market_constraint,dayzer_constraint,pano_constraint
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:L345.ErieWest-Ashtabula-Perry + SPS.Warren,BUTL APS-KARNSCIT KC-BT     A  138 KV L345.ErieWest-Ashtabula-Perry + SPS.Warren
CEDARGRO 230 KV CEDARGRO-JACK PS L-2238,NEWP PS_230 KV_NEW-SWAQ:ACTUAL,CEDARGRO 230KV - JACK PS 230KV (CEDARGRO 230 KV CED-JAC) L500.Hopatcong-Ramapo.5018
YORKANA B43 CB  230 KV,YORKANA_230 KV_BANK 1:500/230.Conastone.500-4,JACK ME 230KV - YORKANA 230KV (JACK ME 230 KV JAC-YOR) DBL:Conastone.TX500-4 & L500.Brighton-Constne.5011
LINCOLN 115 KV LINCOLN-STRABAN 998,LINCOLN_115 KV_LIN-ORRT:L500.Brighton-Conastone.5011,LINCOLN 115KV - STRABAN 115KV (LINCOLN 115 KV LIN-STR) L500.Brighton-Conastone.5011
CARL PN-GARDNERS 1049 B 115 KV,CARL PN_115 KV_CAR-GAR:230/115.Lewistown.T3,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR) 230/115/46.Lewistown.T2&T3
MEHOOPAN115 KV  MEH-NME2,MEHOOPAN_115 KV_MEH-NME1:North Meshoppen - Mehoopany2 115 kV line,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1) North Meshoppen - Mehoopany2 115 kV line
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:L138.KiskiValley-AlleghenyLudlum2-ShaffersCorner,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) L138.KiskiValley-BrackenRidge-ShaffersCorner
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON_230 KV_GRA-MANO:L500.Hunterstown-Conastone.5013+Cap,GRACETON-SAFEHARB 2303      A  230 KV L500.Hunterstown-Conastone.5013+Cap
RAMAPO  138 KV  RAM-SMA,RAMAPO_138 KV_RAM-SMA:ACTUAL,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA) 345/138.SouthMahwah.BK258
CAYUGA-HILSDALEN 230 KV L/O DRESSER-SUGARCREEK 345 KV,CAYUGA2_230 KV_CAY-HILS:Dresser-SugarCreek 345 kV,SugarCreek-Dresser 345kV l/o Cayuga-BK10 345-230kV Cayuga 345/230 xfmr 10
VERMILION-TILTON 138 KV L/O BUNSONVILLE-SIDNEY 345 KV,NCHAMPGN_138 KV_NCH-VERM:Vermilion-Tilton 138 kV,Vermilion-Tilton 138 kV l/o Sullivan-Casey 345 kV Sullivan-Casey West 345 kV
18 WILL 138 KV 18 WILL -1808 1808 1,18 WILL_138 KV_1808 1:ACTUAL,LINE    138 KV  1808 1 0907    138 KV  0720CS  DIS     OPEN    103 LISL138 KV  L1809 CBCB      OPEN    18 WILL 138 KV  L180
WEEDMAN_MAHOMET_138_FLO_CLINTON_OREAN,WEEDMAN3_138 KV_1592 5:Clinton-Oreana-GooseCrk 345 kV,WEEDMAN3 138KV - MAHOMET 138KV (WEEDMAN3 138 KV 1592   4) Clinton-Oreana-GooseCrk 345 kV
GRANT 138 KV GRANT-GREENTO2,GRANT_138 KV_GRA-GRE1:ACTUAL,GRANT-GREENTO2 TIE          B  138 KV Desoto T1 345/138kV (Sectionalized)
KAMMER2 138 KV KAMMER-NATRIUM,NATRIUM2_138 KV_NAT-NEW:L765.Kammer-Belmont-Mountaineer,KAMMER2 138KV - NATRIUM2 138KV (KAMMER2 138 KV KAM-NAT) BASE
HIGHLAOE138 KV  HIG-COM1,HIGHLAOE_138 KV_HIG-COM1:DBL:Hanna-Highland 345kv + Sammis-Wellsville 345kv,HIGHLAOE 138KV - COMERC 138KV (HIGHLAOE 138 KV HIG-COM1) DBL.345/138.HoytT2+L345.Wellsville-Sammis
HAVILAND138 KV HAV-TIM,HAVILAND_138 KV_HAV-TIM:L765.Marysville-Sorenson,TIMBERRD 138KV - HAVILAND 138KV (HAVILAND 138 KV HAV-TIM) L765.Marysville-Sorenson
1206    138 KV  1206 4,1206_138 KV_1206 4:ACTUAL,J375 138KV - 1206 138KV (1206 138 KV 1206 4) BASE
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:L230.Graceton-Bagley-RaphaelRoad.2305,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC) L230.Graceton-Bagley-RaphaelRoad.2305
981 CRES138 KV 7413,981 CRES_138 KV_7413:ACTUAL,981 CRES 138KV - 74 KEWAN 138KV (981 CRES 138 KV 7413) L138.Mazon-CrescentRdg-Oglesby.7713 (Oglesby Tap)
DARLEYRD 69 KV DARLEYRD-NAAMANS 6835,DARLEYRD_69 KV_DAR-NAA:230/138.Edgemoor.AT20,NAAMANS 69KV - DARLEYRD 69KV (DARLEYRD 69 KV DAR-NAA) 230/138.Edgemoor.AT20
OTTCRKPL230 KV  OTT-YOR,OTTCRKPL_230 KV_OTT-YOR:L500.Conastone-PeachBottom.5012,YORKANA 230KV - OTTCRKPL 230KV (OTTCRKPL 230 KV OTT-YOR) L500.Conastone-PeachBottom.5012
CONASTON 230 KV CON-GRAC,CONASTON_230 KV_CON-GRAC:L230.Conastone-Graceton.2323,CONASTON 230KV - GRACETON 230KV (CONASTON 230 KV CON-GRAC) L230.Conastone-Graceton.2323
DEQUINE 345 KV  DEQ-FOWJ,DEQUINE_345 KV_DEQ-FOWJ:ACTUAL,FOWLERJC 345KV - DEQUINE 345KV (DEQUINE 345 KV DEQ-FOWJ) BASE
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY,CEDARSUB_230 KV_CED-ROSY:L230.Roseland-William.S-2297,ROSELAND 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-ROSY) L230.Roseland-William.S-2297
PIPECREE138 KV  MUL-PIP1,PIPECREE_138 KV_PIP-STR:L765.Dumont-Sorenson,PIPECREE-MULFBTAP MUL-PIP1  B  138 KV L765.Dumont-Sorenson
N COULTERVIL 138/230 KV L/O PRAIRIE STATE - W MT.VERNON 3,LAC N T3_138 KV_32291322:Prairie State-W Mt. Vernon 345,N Coultervil 138/230 kV l/o Prairie State - W Mt.Vernon 3 L345.PrairieState-MountVernon
MERIDIAN-TWINBRAN           B  345 KV,MERIDIAN_345 KV_MER-SOR1:L765.Dumont-Sorenson,TWINBRAN 345KV - MERIDIAN 345KV (MERIDIAN 345 KV MER-TWI1) L765.Dumont-Sorenson
MILLWDPL230 KV  MIL-SAK,MILLWDPL_230 KV_MIL-SAK:L500.Conastone-PeachBottom.5012,SAKRON 230KV - MILLWDPL 230KV (MILLWDPL 230 KV MIL-SAK) L500.Conastone-PeachBottom.5012
COLORA 230 KV COLORA-CONOWING 220-88,COLORA_230 KV_COL-CON2:L230.Conowingo-Nottingham-220-03,CONOWING 230KV - COLORA 230KV (COLORA 230 KV COL-CON2) L230.Conowingo-Nottingham-220-03
WMOULTON 69 KV WMOULTON-09ST_MRY,WMOULTON_69 KV_WMO-09S1:ACTUAL,WMOULTON 69KV - 09ST_MRY 69KV (WMOULTON 69 KV WMO-09S1) BASE
LAFAYETTE 138/230 KV TR1 L/O LAFAYETTE 138/230 TR4,SHAWVILL_230 KV_BNK 2A-P:TEMP: Shaw U1 + Lewis Run TR4 + Forrest TR1 CB,08LAFYTE 138KV - 08LAFYTE 1KV (08LAFYTE 138 KV 1S) Lafayette 138/230kV TR4
MONROE-LALLENDORF 345 KV L/O LULU 345 KV SUB,LEMOYNE2_345 KV_MAJ-LEM1:L345.Lulu Tap(Morocco-Lulu-Milan-Monroe),MONROE 345KV - LALLENDO 345KV (LALLENDO 345 KV LAL-MON) L345.Lulu Tap(Morocco-Lulu-Milan-Monroe)
AP SOUTH REACTIVE TRANSFER INTERFACE,AP SOUTH for l/o Dooms-Valley:L500.Dooms-Valley.549,TRANSFER INTERFACE: BED-BLA L500.Conemaugh-Hunterstown.5006 + Hnrtwn.500.Cap1
BAIR 115 KV BAIR-JACK ME 969-2,BAIR_115 KV_BAI-JAC:L115.Yorkana-Yoe-Redfront-Windsor,JACK ME 115KV - BAIR 115KV (BAIR 115 KV BAI-JAC) L115.Yorkana-Yoe-Redfront-Windsor
CANYON  230 KV  CAN-EAS,CANYON_230 KV_CAN-EAS:ACTUAL,CANYON 230KV - ETOWANDA 230KV (CANYON 230 KV CAN-EAS) L500.Breinigsville-Wescosville.5044
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:L765.Maliszewski-Marysville,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) L765.Maliszewski-Marysville
BEDINGTO_T1_500TRAN2_XF,BEDINGTO_500 KV_TRAN 2:L500.Bedington-Doubs,BEDINGTO TRAN  2  XFORMER   H  500 KV L500.Bedington-Doubs
GEORGEWA 138 KV GEORGEWA-KAMMER2,GEORGEWA_138 KV_GEO-KAM:L345.Kammer-WestBellaire,KAMMER2 138KV - GEORGEWA 138KV (GEORGEWA 138 KV GEO-KAM) L345.Kammer-WestBellaire
TRENTON2138 KV  TRE-COL1,TRENTON2_138 KV_TRE-COL1:L765.Marysville-Sorenson,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1) L765.Marysville-Sorenson
BIGPINET_138KVBIG-KIS_1_LN,BIGPINET_138 KV_BIG-KIS:L138.Kittanning-AllDam6 + Seneca 1,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) L138.Kittanning-AllDam6 + Seneca 1
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY,CEDARSUB_230 KV_CED-ROSY:L230.Roseland-William.S-2297,CEDARGRO-ROSELAND CED-ROSY  A  230 KV L230.CedarGrove-Roseland.F-2206
PLEASNTV-ASHBURN 274D A 230 KV,PLEASNTV_230 KV_274D:L230.Belmont-CochranMill-Ashburn-Beaumeade.227,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D) L230.Belmont-CochranMill-Ashburn-Beaumeade.227
NOTTINGH_NOT2302-3_1_LN,NOTTINGH_230 KV_NOT-PEA:L500.Conastone-PeachBottom.5012,NOTTINGH_NOT2302-3_1_LN L500.Conastone-PeachBottom.5012
NORTH PORT - ALBIONIM L/O ROBISON PARK 345/138 T5 XF,ALBIONIM_138 KV_ALB-NOR1:345/138.RobisonPark.T5,NORTHPOR 138KV - ALBIONIM 138KV (ALBIONIM 138 KV ALB-NOR1) Robison Park 345/138 T5 XF
ROXBURY 115 KV ROXBURY-SHADEGAP KR 1075,SHADEGAP_115 KV_SHA-THR:L500.Conastone-PeachBottom.5012,ROXBURY-SHADEGAP KR 1075    B  115 KV L500.Conastone-PeachBottom.5012
GLENBROO69 KV   GLE-KOON,GLENBROO_69 KV_GLE-KOON:ACTUAL,GLENBROO 69KV - KOONSVIL 69KV (GLENBROO 69 KV GLE-KOON) L69.Hunlock-Lincoln
HARWOOD 230 KV HARWOOD-SUSQUEHA,SUSQUEHA_500 KV_21:L230.Harwood-Susquehanna.2,SUSQUEHA500 KV  21 L230.Harwood-Susquehanna.2
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097,SEWARD_115 KV_SEW-TOW:L115.Hilltop-Krayn-RachelHill (HillclayJct&Salix),SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW) L115.Hilltop-Krayn-RachelHill (HillclayJct&Salix)
CRESCENT RIDGE - 7713 138 L/O KEWANEE EAST - BUREAU,3 POWERT_138 KV_POW-TWRL:L138.KewaneeEast-Bureau (Ameren),Crescent Ridge - 7713 138 l/o Kewanee East - Bureau L138.KewaneeEast-Bureau (Ameren)
STATE LN- ROXANA 138 KV L/O SHEFFIELD XFMR 345/138 KV,17ROXANA_138 KV_17R-PRA1:Sheffield-Gary Ave 345 kV,STATE LINE-ROXANA 138 KV L/O SHEFFIELD 345/138-KV XFMR SHEFFILD345 KV  1       CMPTRAFODUMMY
BELLEFON138 KV  T3,BELLEFON_138 KV_T3:138/69/34.Bellefonte.T2,BELLEFON 138KV - BELLEFON 69KV (BELLEFON 138 KV T3) 138/69/34.Bellefonte.T2
RAPPAHAN115 KV  RAP-WHIT,RAPPAHAN_115 KV_RAP-WHIT:L230.Fredricksburg-Birchwood path CES,RAPPAHAN 115KV - WHITESTN 115KV (RAPPAHAN 115 KV RAP-WHIT) L230.Lanexa-Dunnsville-NorthernNeck.224
EAST MOLINE 345/161 KV 9T1 L/O QUAD CITIES - SUB91 345KV,SUB 39_345 KV_9T1:Quad-Sub 91 (0401 1)345 Line,SUB 39 345KV - SUB 39 161KV (SUB 39 345 KV 9T1) Quad-Sub 91 (0401 1)345 Line
HINSHAW - BURR OAK 345 KV L/O WILTON CENTER - DUMONT 765 KV,BURR_OAK_345 KV_BUR-HINS:Dumont-Wilton Center 765kV,HINSHAW 345KV - BURR_OAK 345KV (BURR_OAK 345 KV BUR-HINS) L765.Dumont-WiltonCenter.11215
MONROE-LALLENDORF 345 KV L/O LULU 345 KV SUB,LULU_345 KV_LUL-MON:Monroe-Lallendorf 345 kV,Monroe-Bayshore 345 kV l/o Lulu 345 kV Sub Lulu 3-Terminal Line 3
LINVFT_230KVLIN-VFT1_1_LN,LINVFT_230 KV_LIN-VFT1:ACTUAL,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1) BASE
SAPONY  230 KV  TX2,SAPONY_230 KV_TX2:ACTUAL,SAPONY 35KV - SAPONY 230KV (SAPONY 230 KV TX2) Jefferson-Rockport 765+Rockport Unit 1
HOWARD2 138 KV  HOW-MEL1,HOWARD2_138 KV_HOW-MEL1:ACTUAL,MELMORE 138KV - HOWARD2 138KV (HOWARD2 138 KV HOW-MEL1) L345.Beaver-DavisBesse
CONASTON 500 KV CONASTON 500-4 XFORMER,CONASTON_500 KV_500-4:L500.Brighton-Conastone,CONASTON 500KV - CONASTON 230KV (CONASTON 500 KV 500-4) L500.Brighton-Conastone.5011
DOUBS   500 KV  DOU-GOO,DOUBS_500 KV_DOU-GOO:L500.BurchesHill-PossumPoint.560,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO) L500.BurchesHill-PossumPoint.560
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:Erie West-Ashtabula-Perry 345 kV line,BUTL APS-KARNSCIT KC-BT     A  138 KV L345.ErieWest-Ashtabula-Perry + SPS.Warren
CARL PN-GARDNERS 1049 B 115 KV,CARL PN_115 KV_CAR-GAR:L500.Brighton-Conastone,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR) L500.Brighton-Conastone.5011
PRESTON-TANYARD 6716-5 B 69 KV,BRIDGEVI_69 KV_BRD-TAT:L230.Steele-Vienna.23085 & 230/138.Vienna.AT20,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) L230.Steele-Vienna.23085 & 230/138.Vienna.AT20
911INDUS138 KV  911-NEWC,911INDUS_138 KV_911-NEWC:L345.McClelland-Shenango & Hoytdale-Mansfield,NEWCASOE 138KV - 911INDUS 138KV (911INDUS 138 KV 911-NEWC) L345.McClelland-Shenango
KERRDAM 115 KV  1019A,KERRDAM_115 KV_1019A:ACTUAL,KERRDAM 115KV - PALMERSP 115KV (KERRDAM 115 KV 1019A) L115.Carolina-EatonsFerry-Kerrdam.22
GRACETON230 KV  GRA-MANO,GRACETON_230 KV_GRA-MANO:L500.Hunterstown-Conastone.5013+Cap,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO) L500.Hunterstown-Conastone.5013
MAHOMET - OCB 1303 L/O DUMONT - WILTONCENTER 765KV,CHIC_AVE_138 KV_CHI-PRA1:L765.Dumont-WiltonCenter.11215,WEEDMAN3 138KV - MAHOMET 138KV (WEEDMAN3 138 KV 1592   4) L765.Dumont-WiltonCenter.11215
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CARL PN_115 KV_CAR-GAR:L230.Dauphin-Juniata.1087 + 230/69.Dauphin.T2,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN) L230.Dauphin-Juniata.1087 + 230/69.Dauphin.T2
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:ACTUAL,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1) 230/115.NorthMeshoppen.T3
974 ZION345 KV  PLPL41,974 ZION_345 KV_PLPL41:L345.Zion-Pleasant Prairie.2221,PLEAS PR 345KV - 22 ZION 345KV (22 ZION 345 KV 2221) L345.Zion(EnergyCntr/974)-Pleasant Prairie.PLPL41
LENOX-MACNEW_T LEN-MAC     A  115 KV,MACNEW_T_115 KV_MAC-WIL:L230.ETowanda-Hillside.2002 [NYISO],LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC) L230.ETowanda-Hillside.2002 [NYISO]
EDISON2 138 KV  EDI-OLI1,EDISON2_138 KV_EDI-OLI1:L765.Dumont-Sorenson,OLIVE 138KV - EDISON2 138KV (EDISON2 138 KV EDI-OLI1) L765.Dumont-Sorenson
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:L345.ErieWest-Ashtabula-Perry,ALLDAM6-KITTANNI SP-KT      A  138 KV (NUKE) L345.ErieWest-Ashtabula-Perry
BERGEN_230KVBER-HUD_1_LN,BERGEN_230 KV_BER-HUD:ACTUAL,BERGEN 230KV - HCS 230KV (BERGEN 230 KV BER-HUD) BASE
NEWBERRY-ROUNDTOP 975-1 A 115 KV,NEWBERRY_115 KV_NEW-ROU:Hunterstown-TexasEastern-Gardners (991) 115 kV lin,NEWBERRY 115KV - ROUNDTOP 115KV (NEWBERRY 115 KV NEW-ROU) Hunterstown-TexasEastern-Gardners (991) 115 kV lin
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY,CEDARSUB_230 KV_CED-ROSY:L230.CedarGrove-CedarSub-William.F-2206,ROSELAND 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-ROSY) L230.CedarGrove-CedarSub-William.F-2206
BROADVW 138 KV  BRO-FIN,BROADVW_138 KV_BRO-FIN:ACTUAL,FINLEY 138KV - BROADVW 138KV (BROADVW 138 KV BRO-FIN) L138.DeerCreek-London
BIGSANDY138 KV  BIG-BUS1,BIGSANDY_138 KV_BIG-BUS1:ACTUAL,BIGSANDY 138KV - BUSSEYVI 138KV (BIGSANDY 138 KV BIG-BUS1) BASE
GORE APS 138 KV GORE APS-STONEWAL JST4,GORE APS_138 KV_GOR-STO:L500.Bedington-Doubs,GORE APS 138KV - STONEWAL 138KV (GORE APS 138 KV GOR-STO) L500.Bedington-BlackOak
KEYSTONE_230KVKEY-SHE_1_LN,KEYSTONE_230 KV_KEY-SHE:ACTUAL,LINE    230 KV  KEY-SHE KEYSTONE500 KV  NO3TX500CB      OPEN    KEYSTONE500 KV  YUKON500CB      OPEN    SBEND   500 KV  SBL1
LAUSCHTO500 KV  T3,LAUSCHTO_500 KV_T3:L500.Conastone-PeachBottom.5012,LAUSCHTO 500KV - LAUSCHTO 230KV (LAUSCHTO 500 KV T3) L500.Conastone-PeachBottom.5012
BEDINGTO 500 KV BEDINGTO-BLACKOAK 500KV,CONEMAUG_500 KV_TX3:TEMP:Cabot-Keystone 5002 + Brighton-Conastone 5011,CONASTON 500KV - CONASTON 230KV (CONASTON 500 KV 500-4) L500.Brighton-Conastone.5011
CRESCENT-7713 138 L/O KEWANEE-STREATOR 6101 138,CRBN_138 KV_CRB-CRES:L138.74Kewanee-981Crescent.7413,Crescent-7713 138 l/o Kewanee-Streator 6101 138 Kewanee-Streator 6101 138
LACKAWAN500 KV  4,LACKAWAN_500 KV_4:L230.Lackawanna-Summit.2,LACKAWAN 230KV - LACKAWAN 500KV (LACKAWAN 500 KV 4) L230.lackawanna-Summit2 & Lackawanna-Paupack
BUNSONVILLE - EUGENE TIE 345KV L/O DUMONT - WILTON CENTER 765KV,EUGENE_345 KV_EUG-BUN1:Dumont-Wilton Center 765kV,Bunsonvill-Eugene 345 l/o WiltonCenter-Dumont 765 Dumont-Wilton Center 765kV
CEDARSUB230 KV CED-WILF,CEDARSUB_230 KV_CED-WILF:ACTUAL,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF) L230.CedarGrove-CedarSub-Roseland.Y-2277
MEHOOPAN115 KV  MEH-NME2,MEHOOPAN_115 KV_MEH-NME2:ACTUAL,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME2) 230/115.NorthMeshoppen.T3
GRANT 138 KV GRANT-GREENTO2,GREENTO2_138 KV_2-T:L765.Dumont-Sorenson,GREENTO2 138KV - GRANT 138KV (GRANT 138 KV GRA-GRE1) L765.Dumont-Sorenson
AP SOUTH REACTIVE TRANSFER INTERFACE,TRANSFER INTERFACE: BED-BLA:500/138.Bedington.T2&T4 + 500.Cap.2&3 (Sctnlz F),TRANSFER INTERFACE: AEP-DOM L500.Bedington-BlackOak
1808    138 KV  1808 3,1808_138 KV_1808 3:ACTUAL,1808    138 KV  1808 3 BASE
MIAMIFOR138 KV MIA-HEB,MIAMIFOR_138 KV_MIA-HEB:ACTUAL,MIAMIFOR 138KV - HEBRON1 138KV (MIAMIFOR 138 KV MIA-HEB) BASE
EDDINGTO 230 KV EDDINGTO-HOLMETAP 220-56,EDDINGTO_230 KV_EDD-EDD:L138.Emilie-Neshaminy.130-25,EDDINGTO 230KV - HOLMETAP 230KV (EDDINGTO 230 KV EDD-HOLT) L138.Emilie-Neshaminy.130-25
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,NOTTINGHM 2-3 SER DEV       A  230 KV L500.Hunterstown-Conastone.5013
STATELIN-17WOLFLK NIP TIE A 138 KV,RICHLND_138 KV_TR-5:L345.Burnham-Munster.17703,STATELIN-17WOLFLK NIP TIE   B  138 KV 345L17703 Burnham-Munster 345 kV Tie Line
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:Juniata - TMI 5008 & Juniata - Dauphin,CUMB PL 230 KV  CUM-JUN JUNIATA TMI 500 LINE
02LYONS_138KV02L-02F1_1_LN,02LYONS_138 KV_02L-02F1:ACTUAL,02FAYET 138KV - 02LYONS 138KV (02LYONS 138 KV 02L-02F1) BASE
BENTONHA138 KV  BEN-CRY1,BENTONHA_138 KV_BEN-CRY1:345/138.Olive.T2(Sctnlz),BENTONHA 138KV - CRYSTAL 138KV (BENTONHA 138 KV BEN-CRY1) 345/138.Olive.T2
CEDARCRE_230KVCED-SIL_1_LN,CEDARCRE_230 KV_CED-SIL:L230.Cartanza-Milford.23033,SILVERUN 230KV - CEDARCRE 230KV (CEDARCRE 230 KV CED-SIL) L230.Cartanza-Milford.23033
LACKAWAN500 KV  3,LACKAWAN_500 KV_3:L230.Lackawanna-Summit.1,LACKAWAN 230KV - LACKAWAN 500KV (LACKAWAN 500 KV 3) L230.Lackawanna-Summit.1
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE,LOCKWOOD_138 KV_LOC-RIC1:L345.EastLima-MaddoxCreek,LOCKWOOD 138KV - RICHLND 138KV (LOCKWOOD 138 KV LOC-RIC1) L345.EastLima-MaddoxCreek
MAPLEST - CHRYSLER 138 KV L/O HIGHLANDPARK - NEWLONDON 230 KV,MAPLECIN_138 KV_MAP-08C1:L230.NewLondon-KokomoHighlandPark,MAPLECIN 138KV - 08CHRYSL 138KV (MAPLECIN 138 KV MAP-08C1) L230.NewLondon-KokomoHighlandPark
BEAUMEAD 274T2206 CB,BEAUMEAD 274T2206 CB 230 KV:L230.EVERGREENMILLS-YARLEYRIDGE.2209,BEAUMEAD 274T2206 CB L230.EvergreenMills-YarleyRidge.2209
EELKHART138 KV  EEL-MOT1,EELKHART_138 KV_EEL-ELC1:345/138.RobisonPark.T5,EELKHART138 KV  EEL-MOT1 L765.Flatlick-Marysville
FRACKVIL 230 KV FRACKVIL-SIEGFRIE,FRACKVIL_230 KV_FRA-SIE:L230.EastPalmerton-Harwood,FRACKVIL 230KV - SIEGFRIE 230KV (FRACKVIL 230 KV FRA-SIE) L230.EastPalmerton-Harwood
179 BLOOM  45TR84 CT       H  345 KV,179 BLOO_345 KV_TR84CT-P:L345.Bloom-Burnham.17908 + 345/138.Burnham.TR81,179 BLOO 345KV - 179 BLOO 1KV (179 BLOO 345 KV TR84CT-P) L345.Bloom-Burnham.17908 + 345/138.Burnham.TR81
HARWGATE 230 KV HARWGATE-LOCKS 205C,HARWGATE_230 KV_205C:L500.Carson-Midlothian.563,LOCKS 230KV - HARWGATE 230KV (HARWGATE 230 KV 205C) L500.Carson-Midlothian.563
ESIDELIM138 KV  ESI-NDE1,ESIDELIM_138 KV_ESI-STE1:L765.Marysville-Sorenson,ESIDELIM138 KV  ESI-NDE1 L765.Marysville-Sorenson
COLLEGEC 138 KV COLLEGEC-COLLINSV,COLLINSV_138 KV_HUS-COL:L345.TannersCreek-Dearborn.1,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6) L345.TannersCreek-Dearborn.1
AUSTIN-TAYLOR 138 KV L/O PANA-AUSTIN 345 KV,AUSTIN_138 KV_AUS-TAY:Pana - Austin 345 kV,AUSTIN 138KV - TAYLORV3 138KV (AUSTIN 138 KV AUS-TAY) L345.Austin-Pana
HOOVERSV 115 KV HOOVERSV-TOWER51 H1H2 1071,HOOVERSV_115 KV_HOO-SCA:ACTUAL,TOWER51 115KV - HOOVERSV 115KV (HOOVERSV 115 KV HOO-TOW) L230.Conemaugh-Seward
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:L345.Armstrong-HomerCity,ALLDAM6-KITTANNI SP-KT      A  138 KV L138.Armstrong-Garrn Jct-Kiski Valley-Kittanning
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087,CARL PN_115 KV_CAR-GAR:L230.Dauphin-Juniata.1087 + 230/69.Dauphin.T2,SANDERSO 138KV - SANDERSO 13.8KV (SANDERSO 138 KV GSU1) L230.Dauphin-Juniata.1087 + 230/69.Dauphin.T2
MOREHEAD 69 KV MOREHEAD-KUMOR TIE,MOREHEAD_69 KV_MOR-KUM1:ACTUAL,RODBURN 69KV - MOREHEAD 69KV (MOREHEAD 69 KV MOR-KUM1) L765.Marysville-Sorenson
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:L500.Conastone-PeachBottom.5012,JACK ME-TMI 1051            B  230 KV L500.Conastone-Peach Bottom.5012
CENTRVIL138 KV  CEN-REU1,CENTRVIL_138 KV_CEN-REU1:L765.Cloverdale-JoshuaFalls,CENTRVIL 138KV - REUSENS 138KV (CENTRVIL 138 KV CEN-REU1) L765.Cloverdale-JoshuaFalls
CHARGER 138 KV  CHA-COU,CHARGER_138 KV_CHA-COU:L765.Dumont-Sorenson,COUNTRYS 138KV - CHARGER 138KV (CHARGER 138 KV CHA-COU) L765.Dumont-Sorenson
CARROLTO138 KV  CAR-CLI1,CARROLTO_138 KV_CAR-CLI1:ACTUAL,CLIFTYCR 138KV - CARROLTO 138KV (CARROLTO 138 KV CAR-CLI1) L345.Ghent-Trimble County
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL) L765.Maliszewski-Marysville
